,review
0,orderd two spray bottle recieved one cap one spray os cap one without smell also good
1,vibrant colour fade away monthl perfect electric blue bleach hair twice applying itit works atleast level hair
2,tea packet torn would like order replaced
3,loved product comparison right market flavour chocolate milk drink hersheys chocolate syrup come close expensive different purpose
4,original sandal soap also smell fantastic
5,although makes rich creamy lather starts melting quickly kept wet need take bathroom dry next use want save much possible costlier brands far better job brands organic happy soap skincare regimen adult sensitive skin prone irritation best thing soap leave residue surprised see brands leave thin film makes skin feel slippery smooth like want skin feel naked fresh stripped moisture mamaearth soap well mamaearth baby wash excellent job
6,tried paneer first time apprehensively surprisingly good terms texture quality soft enough decent portion size economical given home made paneer quarantine expensive affair milk prices exorbitant made amazing gravy definitely order came hygienically packed vacuum bag day validity processed food standards excellent chewy smelly like dairy brands amul product go wrong really thanks amazon fresh prompt delivery
7,caused much pimples dry sensitive skin would recommend vlcc skin type atleast side effects disappointed mamaearth hell lot expectations
8,taste matter preference personally speaking quite liked taste flavour brand
9,made bharat r proud harmful chemicals affordable price
10,gives color lifting black hair level guess streax gems collection much better single tube color
11,fastrack analog watch purchased husband happy product trendy smart look product really great value money light weighted water resistant color go attire wear formals informals strap comfortable durable
12,smell good arrmatic spray functioning properly airwick also airwick aermatic sprayers excellent use godrej refills airwick sprayers fit perfectly
13,bad product didnt expect quality b natural regular b natural customer mainly guava time tried mango v poor taste completely artificial n diluted drink thumbs
14,real cow milk without preservatives tried almost tetrapak milk brands last months really best really like see product site patanjali milk original molk products thank amazon
15,big fan mama earth products generally places order nykaa time thought giving try amazon highly disappointed product seems like copied product original mama earth scent bad cream broke badly like original product expect product pricier side
16,highly dissatisfied product received package opened condition perfume bottle almost empty though specified returnable return accepted finally defective one spraying mins green light blinking starting spray even hrs say designed ridiculous think moreover bought another bottle fragrance emptied within days hrs day use though said last sprays product
17,good product mamaearth oil gives hair full strength perfect shine onion rich sulphur thats add strength hair roots holds hair preventing hairloss suitable type hair better result use night go
18,none
19,though bit pricey worth healthy tasty
20,best
21,good product provides good security provides master pwd used even forget regular pwd executive provided demo time taking appointment calling customer care charged demo installation
22,chocolate melt transit bhubaneswar melt transit bengaluru either love dark chocolate eat comfortably till amul wanted try ultimate found little bitter taste use make hot chocolate tastes much better hershey chop chocolate small pieces stir milk
23,perfect except price per ltr aamras around rs ltr would nice
24,job lamps mirrors sides unlike competitors lamps grouse minute timer useless need expose object minutes open box minutes enough competitors whose boxes lamps recommend minutes disinfect edit company replaced timer previous mins minutes
25,excellent u r also getting money back
26,tried wagh bakri red label tata agni vedaka gold tea etc time tried tata tea gold turns average tea compare tea wagh bakri vedaka gold give good colour times tata tea gold required get color wagh bakri vedaka gold want good color strong tea use vedaka gold wagh bakri tea gives good color compared tata tea gold
27,good product second smart watch better previous one
28,use gel night cream quite happy make beauty queen overnight moisturizes skin non intrusive way thats need impact short time would naturally good replenishment especially summers thing think improve change packaging use bit high quality one cap quite sharp open close hurt operated carefully secondly tube usually habitually keep tube inverted cap take gel open cap hard cap thick gel work conjunction opens jerk throwing gel around wasting well messing things around times open cap cap top invert tube take learnt messes much careful patanjali sure needs work packaging front gel
29,love mamaearth products using since six months looking facewash acne mom stumbled across mamaearth new range face washes products chemical free one really gentle skin comes easy squeezy tube facewash clear like gel tea tree fragrance really helps fighting acne almost two uses mother really impressed must buy anyone fighting acne
30,watch okbut belt lower quality months
31,bought father liked much
32,bad product worth zero star entire soap turn pasty mass one time use worth buying product second day onwards one scoop hand like cream apply baby bad manufacturing process soap better market form liquid body wash moreover soapy feel go body rinse worst teddy bar similar outcome better dermadew found best trials find good soap baby
33,using second time good
34,disappointed product seals broken received items mrp rs discount eyewash
35,avoided previous negative reviews item trusted mama earth brand sharing review weeks use st day got rashes skin ignored later whole face got rashes small boils skin became dry spotty used mama earth baby cream still skin drying giving many burns face stopped using item continued cetaphil cleansing lotion never use mama earth product threw away soaps moisturizer
36,well loved soap smell available till soap gets thinner found many others surely recommend
37,excellent deoderising soap tcc useful especially summer skin brightening soap
38,nothing like gold tastes really unexpected worth price know hype purchased tea pack great expectations disappointed even added two full spoons tea leaves really got aroma taste even color assuming reviews reading could fake product received surely try purchase give valuable feedback
39,tasted society tea regular tea first time friends home mumbai found good could find locally hence soon found amazon placed maximum pouches allowed individual buyer
40,bitterresssssssstttt tastes bitter sugarhaving piece ordered finish months time eat medicine dark chocolate loverslots minerals good source antioxidants lowers bad cholesterols numerous benefits google friends good heart high bp diebetic patients give father also may work antidepressant sweetner nutrient rich food first days difficult eat good health wealth great work amul fit india movementdo discontinue production chocolate amul like cocoa retain permanent product please give micronutrients information also chocolate
41,best product comparison bournvita horlicks chocolate low price good test better value nutrition little part dha also amul indian brand must purchase product packaging good fast delivery amazon thanks amazon
42,tea good old stock packed october best months packing already outdated received
43,using second time good
44,great product dettol advertised used bathing shaving laundry disinfection floor cleaning kitchen bathroom cleaning refrigerator cleaning substances
45,product good final color must reddish color
46,nice watch gifted watch dad birthday happy see watch must buy u looking cheap best watch brand like titan
47,need pay extra salons u love colour long hair need two packets quantity less see everything picture love way turned
48,good product cinthol loved fragrance soap pleasant smell
49,taste good
50,great watch reasonable price love fact nice big dial smooth finish totally worth money
51,someone like always fancied upon getting hair getting coloured see people colored highlighted hair going parlor salon always hard budget living working middle class family finally decided get packets hair highlighter research surfing various youtube videos coming product let review pros gives good color highlights kept minutes note minutes enough dark black hair color stays months lightens time months applying hair color would suggest use henna mehendi hour hairs nourish hair also give good result highlighted hairs personal tip satisfied colored highlighted hair want remove use anti dandruff shampoo times washing hair also godrej hair dye black available powder sachet also effective removing highlights cons one sachet enough even short hair purchase sachets want proper results note girl shoulder length hair would suggest sachets give much highlighted effect want get noticed others normal hair like chemical hair color damages hair makes hair rough verdict ok give try want color highlight hair home would rather suggest spending bucks get hair highlighted parlor salon better results find review helpful please click yes helpful button
52,think one best available tea segment market tata product long leaves please note use quantity compared regular tea recommend making tea closed container slow low flame best results
53,pricey packets bnatural packets jelimals feel like cheated amazon expect
54,tried many tea brands years however wait tea finish get back getting tea match tea using since childhood
55,received opened product bottles less quantity fear may duplicate contaminated since already opened himalaya powder good product one received good may problem seller amazon guidelines appointing seller
56,nice
57,go started using spots face breakouts uneven skintone around days since started using noticed spots lighter see skintone getting even easily observe skin within minute downside smell pungent discomforting one
58,one best baby lotion market got rs himalaya need write anything quality himalaya products always best class
59,product good final color must reddish color
