,review
0,orderd two spray bottle recieved one cap one spray os cap one without also
1,vibrant colour fade away monthl perfect electric blue bleach hair twice applying itit works atleast level hair
2,tea packet torn would like order replaced
3,loved comparison right market flavour chocolate milk drink hersheys chocolate syrup come close expensive different purpose
4,original sandal also fantastic
5,although makes rich creamy lather starts melting quickly kept wet need take bathroom dry next use want save much possible costlier brands far job brands organic happy skincare regimen adult sensitive prone irritation best thing leave residue surprised see brands leave thin film makes slippery smooth like want naked fresh stripped moisture mamaearth well mamaearth baby wash excellent job
6,tried paneer first apprehensively surprisingly terms texture soft enough decent portion size economical given home made paneer quarantine expensive affair milk prices exorbitant made amazing gravy definitely order came hygienically packed vacuum bag day validity processed food standards excellent chewy smelly like dairy brands amul go wrong really thanks fresh prompt delivery
7,caused much pimples dry sensitive would recommend vlcc type atleast side effects disappointed mamaearth hell lot expectations
8,matter preference personally speaking quite liked flavour
9,made bharat r proud harmful chemicals affordable price
10,gives lifting black hair level guess streax gems collection much single tube
11,fastrack analog purchased husband happy trendy smart really great value money light weighted water resistant go attire wear formals informals strap comfortable durable
12,arrmatic spray functioning properly airwick also airwick aermatic sprayers excellent use godrej refills airwick sprayers fit perfectly
13,bad didnt expect b natural regular b natural customer mainly guava tried mango v poor completely artificial n diluted drink thumbs
14,real cow milk without preservatives tried almost tetrapak milk brands last months really best really like see site patanjali milk original molk products thank
15,big fan mama earth products generally places order nykaa thought giving try highly disappointed seems like copied original mama earth scent bad cream broke badly like original expect pricier side
16,highly dissatisfied package opened condition perfume bottle almost empty specified returnable return accepted finally defective one spraying mins green light blinking starting spray even hrs say designed ridiculous think moreover another bottle emptied within days hrs day use said last sprays
17,mamaearth oil gives hair full strength perfect shine onion rich sulphur thats add strength hair roots holds hair preventing hairloss suitable type hair result use night go
18,none
19,bit pricey worth healthy tasty
20,best
21,provides security provides master pwd used even forget regular pwd executive provided demo taking appointment calling customer care charged demo installation
22,chocolate melt transit bhubaneswar melt transit bengaluru either love dark chocolate eat comfortably till amul wanted try ultimate found little bitter use make hot chocolate tastes much hershey chop chocolate small pieces stir milk
23,perfect except price per ltr aamras around rs ltr would nice
24,job lamps mirrors sides unlike competitors lamps grouse minute timer useless need expose object minutes open box minutes enough competitors whose boxes lamps recommend minutes disinfect edit company replaced timer previous mins minutes
25,excellent u r also getting money back
26,tried wagh bakri red label tata agni vedaka gold tea etc tried tata tea gold turns average tea compare tea wagh bakri vedaka gold give colour times tata tea gold required get wagh bakri vedaka gold want strong tea use vedaka gold wagh bakri tea gives compared tata tea gold
27,second smart previous one
28,use gel night cream quite happy make beauty queen overnight moisturizes non intrusive way thats need impact short would naturally replenishment especially summers thing think improve change packaging use bit high one cap quite sharp open close hurt operated carefully secondly tube usually habitually keep tube inverted cap take gel open cap hard cap thick gel work conjunction opens jerk throwing gel around wasting well messing things around times open cap cap top invert tube take learnt messes much careful patanjali sure needs work packaging front gel
29,love mamaearth products since six months looking facewash acne mom stumbled across mamaearth new range face washes products chemical free one really gentle comes easy squeezy tube facewash clear like gel tea tree really helps fighting acne almost two uses mother really impressed must buy anyone fighting acne
30,okbut belt lower months
31,father liked much
32,bad worth zero star entire turn pasty mass one use worth buying second day onwards one scoop hand like cream apply baby bad manufacturing process market form liquid body wash moreover soapy go body rinse worst teddy bar similar outcome dermadew found best trials find baby
33,second
34,disappointed seals broken items mrp rs discount eyewash
35,avoided previous negative reviews item trusted mama earth sharing review weeks use st day got rashes ignored later whole face got rashes small boils became dry spotty used mama earth baby cream still drying giving many burns face stopped item continued cetaphil cleansing lotion never use mama earth threw away soaps moisturizer
36,well loved available till gets thinner found many others surely recommend
37,excellent deoderising tcc useful especially summer brightening
38,nothing like gold tastes really unexpected worth price know hype purchased tea great expectations disappointed even added two full spoons tea leaves really got aroma even assuming reviews reading could fake surely try purchase give valuable feedback
39,tasted society tea regular tea first friends home mumbai found could find locally hence soon found placed maximum pouches allowed individual buyer
40,bitterresssssssstttt tastes bitter sugarhaving piece ordered finish months eat medicine dark chocolate loverslots minerals source antioxidants lowers bad cholesterols numerous benefits google friends heart high bp diebetic patients give father also may work antidepressant sweetner nutrient rich food first days difficult eat health wealth great work amul fit india movementdo discontinue production chocolate amul like cocoa retain permanent please give micronutrients information also chocolate
41,best comparison bournvita horlicks chocolate low price test value nutrition little part dha also amul indian must purchase packaging fast delivery thanks
42,tea old stock packed october best months packing already outdated
43,second
44,great dettol advertised used bathing shaving laundry disinfection floor cleaning kitchen bathroom cleaning refrigerator cleaning substances
45,final must reddish
46,nice gifted dad birthday happy see must buy u looking cheap best like titan
47,need pay extra salons u love colour long hair need two packets quantity see everything picture love way turned
48,cinthol loved pleasant
49,
50,great reasonable price love fact nice big dial smooth finish totally worth money
51,someone like always fancied upon getting hair getting coloured see people colored highlighted hair going parlor salon always hard budget living working middle class family finally decided get packets hair highlighter research surfing various youtube videos coming let review pros gives highlights kept minutes note minutes enough dark black hair stays months lightens months applying hair would suggest use henna mehendi hour hairs nourish hair also give result highlighted hairs personal tip satisfied colored highlighted hair want remove use anti dandruff shampoo times washing hair also godrej hair dye black available powder sachet also effective removing highlights cons one sachet enough even short hair purchase sachets want proper results note girl shoulder length hair would suggest sachets give much highlighted effect want get noticed others normal hair like chemical hair damages hair makes hair rough verdict ok give try want highlight hair home would rather suggest spending bucks get hair highlighted parlor salon results find review helpful please click yes helpful button
52,think one best available tea segment market tata long leaves please note use quantity compared regular tea recommend making tea closed container slow low flame best results
53,pricey packets bnatural packets jelimals like cheated expect
54,tried many tea brands years however wait tea finish get back getting tea match tea since childhood
